Quarter,REPORTING  DISTRICT,DIVISION,BURG  BUS,BURG  RES,BURG  OTH,ROBB  ST,ROBB  OTH,MURDER,RAPE,AGGR  ASSAULT,BURG  FROM  AUTO,THEFT  FROM  AUTO,GRAND  THEFT,THEFT  FROM  PERS,PURSE  SNATCH,OTHER  THEFT,BIKE  THEFT,AUTO  THEFT,BUNCO,TOTAL,,
1991Q1,0415,4,2,7,0,6,5,1,0,16,11,2,4,1,2,6,1,26,1,91,,
1991Q1,0416,4,2,18,5,3,2,0,0,26,21,2,1,0,0,7,0,24,0,111,,
1991Q1,0417,4,0,9,6,3,0,0,1,19,7,1,2,0,0,1,0,14,0,63,,
1991Q1,0418,4,0,4,4,0,1,0,0,19,14,4,0,1,1,2,0,13,0,63,,
1991Q1,0419,4,0,7,4,2,1,0,0,5,7,1,2,0,0,2,0,18,0,49,,
1991Q1,0421,4,4,11,2,3,2,0,0,6,11,3,6,0,1,6,0,15,0,70,,
1991Q1,0422,4,3,5,1,3,3,0,0,12,17,3,2,0,0,3,1,25,0,78,,
1991Q1,0423,4,9,4,0,5,0,1,0,3,5,1,0,0,0,1,1,13,1,44,,
1991Q1,0427,4,0,6,7,2,0,0,0,6,8,4,6,0,0,5,5,18,0,67,,
1991Q1,0428,4,4,2,7,9,4,0,0,20,8,4,1,0,0,0,0,35,0,94,,
1991Q1,0429,4,4,8,2,9,2,0,0,6,11,2,5,0,0,3,1,33,0,86,,
1991Q1,0431,4,0,1,0,1,0,0,0,6,2,0,0,0,0,1,0,2,0,13,,
1991Q1,0432,4,0,2,0,0,0,0,0,3,1,3,0,1,0,2,0,0,0,12,,
1991Q1,0433,4,1,4,4,11,2,0,0,6,18,4,8,0,0,24,2,51,0,135,,
1991Q1,0435,4,1,1,0,2,1,0,0,3,5,0,1,0,0,2,1,4,0,21,,
1991Q1,0438,4,1,7,2,2,0,0,0,14,3,4,1,0,0,1,0,21,0,56,,
1991Q1,0439,4,0,2,0,3,1,0,0,12,3,6,0,1,0,2,1,11,0,42,,
1991Q1,0451,4,3,5,1,3,1,0,1,16,4,1,2,0,0,1,1,9,0,48,,
1991Q1,0452,4,1,1,0,2,1,0,0,2,2,1,3,0,0,1,0,6,0,20,,
1991Q1,0453,4,2,8,2,5,0,1,0,11,9,3,5,0,2,11,1,10,0,70,,
1991Q1,0455,4,9,5,2,10,3,0,0,20,12,7,3,0,0,3,0,26,0,100,,
1991Q1,0457,4,3,29,1,9,6,1,0,19,9,11,4,0,0,9,0,32,0,133,,
1991Q1,0459,4,0,7,2,5,0,0,0,8,6,4,1,0,1,1,0,12,0,47,,
1991Q1,0462,4,3,3,0,6,0,1,0,2,4,3,0,0,0,1,2,7,0,32,,
1991Q1,0463,4,11,15,4,16,2,0,1,14,16,8,2,0,0,11,3,31,0,134,,
1991Q1,0466,4,0,8,0,9,1,1,0,12,8,4,1,0,0,6,2,16,1,69,,
1991Q1,0467,4,1,12,10,7,0,0,2,11,18,7,1,0,0,16,0,20,0,105,,
1991Q1,0468,4,2,17,0,7,0,0,0,16,5,3,2,0,1,5,0,7,1,66,,
1991Q1,0469,4,0,4,1,3,0,0,0,6,2,2,1,0,0,2,1,10,0,32,,
1991Q1,0471,4,18,7,5,7,0,3,0,19,17,3,4,0,0,5,1,14,0,103,,
1991Q1,0473,4,5,2,0,4,2,0,0,8,11,2,0,0,1,13,0,22,0,70,,
1991Q1,0477,4,2,8,3,3,2,0,0,13,6,4,2,1,0,5,0,18,1,68,,
1991Q1,0478,4,2,2,2,4,2,0,1,14,3,2,0,0,0,4,2,21,0,59,,
1991Q1,0479,4,1,3,1,7,0,1,0,4,4,4,3,0,0,1,0,11,0,40,,
1991Q1,0483,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,,
1991Q1,0487,4,0,2,0,1,0,0,1,2,4,0,0,0,0,1,0,6,0,17,,
1991Q1,0488,4,1,3,0,1,0,0,2,1,0,1,0,0,0,2,0,7,0,18,,
1991Q1,0491,4,4,0,1,0,1,0,0,0,9,2,7,0,0,20,0,8,0,52,,
1991Q1,0497,4,16,6,5,12,5,0,0,24,21,7,6,0,0,25,1,94,0,222,,
1991Q1,0499,4,5,4,1,5,0,1,0,2,6,2,1,0,0,0,0,19,0,46,,
1991Q1,0500,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,,
1991Q1,0501,5,1,0,0,0,0,0,0,3,2,3,0,0,0,3,0,1,0,13,,
1991Q1,0502,5,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,6,,
1991Q1,0503,5,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,1,0,9,,
1991Q1,0504,5,2,9,0,2,1,0,0,14,8,4,3,0,0,2,0,16,0,61,,
1991Q1,0505,5,0,4,0,8,2,0,0,12,19,5,0,0,0,5,0,16,0,71,,
1991Q1,0507,5,4,8,0,2,1,0,0,22,6,5,3,0,0,2,0,33,0,86,,
1991Q1,0509,5,3,8,6,2,2,0,0,20,15,6,4,2,0,9,3,20,0,100,,
1991Q1,0511,5,7,21,8,13,7,0,0,23,17,7,8,0,0,8,5,42,0,166,,
1991Q1,0512,5,0,3,1,1,0,0,0,1,0,1,0,0,0,0,1,7,0,15,,
1991Q1,0513,5,3,8,4,5,5,0,0,28,20,5,9,0,2,5,1,40,0,135,,
1991Q1,0514,5,3,21,2,3,4,0,0,13,9,4,1,0,0,6,2,26,0,94,,
1991Q1,0515,5,4,10,2,3,5,0,0,6,5,1,1,1,0,17,1,24,0,80,,
1991Q1,0516,5,8,13,8,9,9,0,0,25,21,9,6,1,0,15,1,22,3,150,,
1991Q1,0517,5,8,20,10,6,4,0,0,20,34,11,2,0,2,21,0,46,0,184,,
1991Q1,0519,5,15,19,11,8,4,1,0,15,21,7,6,0,0,10,1,46,0,164,,
1991Q1,0521,5,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,5,,
1991Q1,0522,5,1,5,5,1,0,0,1,6,19,3,2,0,0,3,8,16,1,71,,
1991Q1,0523,5,0,1,1,1,0,0,0,1,2,0,0,0,0,0,0,1,0,7,,
1991Q1,0524,5,1,11,0,5,4,0,1,9,10,3,1,0,0,3,0,5,0,53,,
1991Q1,0525,5,11,26,3,23,12,0,4,55,26,12,4,1,0,15,1,52,5,250,,
1991Q1,0527,5,2,0,1,0,0,0,0,0,0,0,1,0,0,2,0,4,0,10,,
1991Q1,0529,5,10,10,1,9,8,2,0,25,22,19,6,0,0,15,1,61,0,189,,
1991Q1,0541,5,9,4,2,1,3,0,0,4,22,7,3,0,0,13,4,10,0,82,,
1991Q1,0543,5,2,11,5,0,3,1,0,1,14,4,2,0,0,11,1,16,0,71,,
1991Q1,0545,5,2,11,3,1,5,0,0,14,9,1,3,0,0,5,0,17,0,71,,
1991Q1,0547,5,7,12,3,5,11,0,0,10,21,5,2,1,1,6,1,26,0,111,,
1991Q1,0549,5,9,12,8,11,9,2,0,46,23,10,10,1,0,10,1,22,0,174,,
1991Q1,0561,5,0,0,1,0,0,0,0,2,3,0,0,0,0,1,0,7,0,14,,
1991Q1,0562,5,1,8,0,0,2,0,0,5,22,6,0,0,0,0,0,11,0,55,,
1991Q1,0563,5,8,17,10,6,6,0,0,24,42,12,6,0,0,21,7,37,0,196,,
1991Q1,0565,5,7,2,5,7,3,0,1,6,23,3,1,0,0,6,1,13,0,78,,
1991Q1,0567,5,7,12,8,13,3,0,0,44,31,12,5,0,2,12,10,28,0,187,,
1991Q1,0569,5,2,0,6,0,0,4,1,7,7,4,8,0,0,10,1,6,0,56,,
1991Q1,0581,5,4,2,0,0,1,0,0,3,12,4,3,0,0,4,0,4,0,37,,
1991Q1,0583,5,2,4,1,1,4,0,0,3,5,1,1,0,0,3,1,9,0,35,,
1991Q1,0584,5,1,12,1,7,0,0,0,5,17,5,3,0,0,2,0,14,0,67,,
1991Q1,0585,5,5,14,8,4,1,0,2,16,32,8,5,0,0,8,8,31,1,143,,
1991Q1,0587,5,3,5,13,1,0,0,2,7,19,3,1,0,0,4,3,24,0,85,,
1991Q1,0589,5,1,1,3,0,1,0,1,4,8,1,0,0,0,3,1,2,0,26,,
