QUARTER,REPORTING DISTRICT,DIVISION,BURG BUS-,BURG RES-,BURG OTH-,ROBB ST-,ROBB OTH-,MURD- ER,RAPE,AGGR ASSA- ULT,BURG “FROM AUTO,THEFT FROM AUTO,GRAND THEFT,THEFT FROM PERS,PURSE SNAT- CH,OTHER THEFT,BIKETHEFT,AUTO THEFT,BUNCO,TOTAL
2005Q4,513,5,8,4,2,2,3,1,1,4,6,2,8,0,0,12,0,13,0,66
2005Q4,514,5,1,4,4,2,0,0,0,1,5,1,4,0,0,5,0,14,0,41
2005Q4,515,5,0,3,4,1,0,2,0,5,6,2,1,0,0,6,0,17,0,47
2005Q4,516,5,0,2,2,3,6,1,0,3,3,1,0,0,0,3,0,13,0,37
2005Q4,517,5,2,0,1,1,3,0,0,8,3,8,3,0,0,6,0,12,1,48
2005Q4,519,5,3,2,3,0,1,0,2,8,4,4,6,0,0,3,0,10,0,46
2005Q4,521,5,0,5,0,0,0,0,0,1,9,1,6,0,0,5,0,6,0,33
2005Q4,523,5,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,4
2005Q4,524,5,0,0,0,1,1,0,0,2,2,1,1,0,0,2,0,2,0,12
2005Q4,525,5,5,3,1,7,8,0,1,11,7,12,5,1,0,12,0,17,0,90
2005Q4,527,5,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,5
2005Q4,529,5,1,5,3,4,2,0,1,14,6,3,4,0,0,2,0,12,0,57
2005Q4,541,5,0,1,0,0,3,0,0,1,4,3,1,0,0,4,0,4,0,21
2005Q4,551,5,0,0,1,0,0,0,0,0,7,6,2,0,0,4,0,4,0,24
2005Q4,555,5,0,2,0,0,2,0,0,3,1,1,1,0,0,3,0,2,0,15
2005Q4,557,5,2,3,3,0,7,1,0,4,5,6,1,1,0,8,0,13,0,54
2005Q4,558,5,2,12,3,3,2,0,1,6,6,8,8,1,0,2,0,15,0,69
2005Q4,559,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3
2005Q4,561,5,1,0,0,0,4,0,0,11,2,3,1,1,0,4,0,2,0,29
2005Q4,562,5,0,1,0,0,0,0,0,1,1,1,4,0,0,2,0,5,0,15
2005Q4,563,5,2,6,3,4,0,0,1,5,5,10,6,1,0,7,0,12,0,62
2005Q4,565,5,2,2,1,2,2,0,0,1,3,3,1,0,0,6,0,3,0,26
2005Q4,567,5,0,8,1,5,0,1,1,12,12,1,4,0,0,5,0,6,0,56
2005Q4,569,5,1,0,0,0,0,0,0,1,1,2,1,0,0,2,0,1,0,9
2005Q4,581,5,0,2,1,0,0,0,0,3,4,5,2,0,0,5,0,1,0,23
2005Q4,583,5,0,1,0,0,1,0,0,1,0,0,2,0,0,2,0,1,0,8
2005Q4,584,5,0,1,1,0,0,0,0,1,3,2,1,0,0,4,0,0,0,13
2005Q4,585,5,0,11,3,3,1,0,2,6,5,4,3,0,0,5,0,6,0,49
2005Q4,587,5,0,0,2,3,0,0,0,3,4,4,2,0,0,2,0,3,0,23
2005Q4,589,5,0,0,1,1,0,0,0,2,2,2,1,0,0,1,0,1,0,11
2005Q4,604,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2005Q4,609,6,0,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,6
2005Q4,615,6,0,8,0,0,0,0,0,0,3,1,1,0,0,2,0,7,0,22
2005Q4,621,6,0,6,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,11
2005Q4,622,6,0,14,2,0,1,1,0,1,10,4,11,0,0,2,0,9,0,55
2005Q4,625,6,0,1,0,0,1,0,0,0,6,0,5,0,0,3,0,2,0,18
2005Q4,626,6,0,1,0,0,1,0,1,0,4,1,3,0,0,0,0,2,0,13
2005Q4,627,6,0,3,0,0,0,0,0,0,3,1,2,0,0,0,0,1,0,10
2005Q4,628,6,0,6,0,4,0,0,0,3,11,2,2,0,0,5,0,7,1,41
2005Q4,629,6,0,1,1,1,0,0,0,1,2,3,0,0,0,1,0,1,0,11
2005Q4,631,6,0,12,1,0,0,0,1,1,0,3,2,0,0,0,0,2,0,22
2005Q4,632,6,1,15,0,1,1,0,0,1,10,1,8,0,0,8,0,5,0,51
2005Q4,635,6,0,4,0,2,0,0,0,1,2,1,2,0,0,1,0,4,0,17
2005Q4,636,6,3,5,2,13,4,1,0,11,13,5,12,3,0,21,0,13,0,106
2005Q4,637,6,0,2,2,1,1,0,0,9,9,0,2,0,0,4,0,7,0,37
2005Q4,638,6,0,4,0,2,2,0,0,2,11,3,1,1,0,6,0,8,1,41
2005Q4,639,6,1,3,0,1,1,0,0,3,13,2,3,0,0,6,0,14,0,47
2005Q4,642,6,1,8,0,4,3,1,1,1,6,5,4,0,0,3,0,5,1,43
2005Q4,643,6,1,22,1,2,3,0,0,1,13,11,4,1,0,8,0,12,0,79
2005Q4,644,6,0,9,0,2,2,0,0,3,18,7,5,0,0,3,0,11,1,61
2005Q4,645,6,2,10,1,16,2,0,1,17,35,9,26,1,1,34,0,33,0,188
