QUARTER,REPORTING  DISTRICT,DIVISION,BURG  BUS-,BURG  RES-,BURG  OTH-,ROBB  ST-,ROBB  OTH-,MURDER,RAPE,AGGR  ASSAULT,BURG  FROM  AUTO,THEFT  FROM  AUTO,GRAND  THEFT,THEFT  FROM  PERS,PURSE  SNATCH,OTHER  THEFT,BIKE THEFT,AUTO  THEFT,BUNCO,TOTAL
1997Q1,1293,12,0,5,1,1,0,1,0,3,0,0,0,0,0,0,0,2,0,13
1997Q1,1300,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
1997Q1,1303,13,9,0,1,9,2,0,0,6,14,3,2,1,0,5,0,24,0,76
1997Q1,1307,13,6,0,1,13,7,0,1,11,12,8,2,0,0,6,0,8,0,75
1997Q1,1309,13,6,0,0,3,6,0,0,10,8,12,15,2,0,11,0,29,0,102
1997Q1,1311,13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
1997Q1,1313,13,10,0,9,11,3,0,0,10,9,12,4,0,1,8,0,22,0,99
1997Q1,1317,13,4,2,5,4,0,0,0,2,20,6,2,0,0,4,0,10,0,59
1997Q1,1321,13,1,0,0,13,2,0,0,6,12,5,3,0,0,6,0,46,0,94
1997Q1,1323,13,0,5,0,13,6,0,0,14,6,8,1,0,0,7,0,14,0,74
1997Q1,1325,13,0,3,0,6,3,1,0,15,2,4,1,1,0,0,0,13,0,49
1997Q1,1327,13,2,2,1,4,2,0,0,3,6,6,0,0,0,0,0,6,0,32
1997Q1,1331,13,5,3,2,9,1,0,0,14,8,5,2,2,0,1,0,18,0,70
1997Q1,1333,13,2,4,0,13,5,0,0,15,7,13,3,0,0,6,0,12,0,80
1997Q1,1341,13,3,2,0,4,0,0,0,6,9,10,3,0,0,4,0,13,0,54
1997Q1,1342,13,2,7,2,8,2,2,0,18,7,10,1,0,0,1,0,13,0,73
1997Q1,1343,13,0,4,1,16,3,0,0,15,4,10,1,0,0,10,0,18,0,82
1997Q1,1345,13,1,6,9,16,9,0,1,30,12,9,3,0,0,8,0,22,0,126
1997Q1,1347,13,1,3,3,5,4,0,0,25,3,0,3,0,0,2,0,6,0,55
1997Q1,1351,13,3,4,3,6,4,0,2,15,4,4,2,0,0,5,0,9,0,61
1997Q1,1352,13,3,6,1,4,2,2,1,22,9,6,4,0,0,8,0,9,0,77
1997Q1,1353,13,0,14,2,18,5,0,0,23,10,17,1,0,0,5,0,14,0,109
1997Q1,1361,13,0,3,2,9,3,0,0,15,5,3,1,0,0,6,0,19,0,66
1997Q1,1362,13,1,8,1,5,3,0,0,12,3,6,3,0,0,4,0,5,0,51
1997Q1,1363,13,2,0,3,6,1,1,0,11,3,3,0,0,0,3,0,7,0,40
1997Q1,1365,13,1,14,6,17,10,1,0,27,6,20,4,0,1,4,0,23,0,134
1997Q1,1367,13,0,11,0,11,6,1,0,17,15,12,1,0,0,6,0,22,0,102
